frame,time,player_count,ball_x,ball_y,space_control,passing_options
0,0.0,0,1100,258,[],0
1,0.016690140845070423,0,2540,174,[],0
2,0.033380281690140845,0,1097,259,[],0
3,0.05007042253521127,0,2540,174,[],0
4,0.06676056338028169,0,1823,417,[],0
5,0.08345070422535211,0,1823,417,[],0
6,0.10014084507042254,0,1823,417,[],0
7,0.11683098591549296,0,143,1553,[],0
8,0.13352112676056338,0,153,1553,[],0
9,0.1502112676056338,0,153,1553,[],0
10,0.16690140845070423,0,1823,417,[],0
11,0.18359154929577465,0,1823,417,[],0
12,0.20028169014084507,0,1823,417,[],0
13,0.2169718309859155,0,1823,417,[],0
14,0.23366197183098592,0,1823,417,[],0
15,0.25035211267605634,0,1823,417,[],0
16,0.26704225352112676,0,1823,417,[],0
17,0.2837323943661972,0,1823,417,[],0
18,0.3004225352112676,0,143,1553,[],0
19,0.317112676056338,0,143,1553,[],0
20,0.33380281690140845,0,143,1553,[],0
21,0.3504929577464789,0,143,1553,[],0
22,0.3671830985915493,0,143,1553,[],0
23,0.3838732394366197,0,143,1553,[],0
24,0.40056338028169014,0,143,1553,[],0
25,0.41725352112676056,0,143,1553,[],0
26,0.433943661971831,0,143,1553,[],0
27,0.4506338028169014,0,143,1553,[],0
28,0.46732394366197183,0,143,1553,[],0
29,0.48401408450704225,0,143,1553,[],0
30,0.5007042253521127,0,1243,135,[],0
31,0.517394366197183,0,2250,358,[],0
32,0.5340845070422535,0,187,1553,[],0
33,0.5507746478873239,0,188,1552,[],0
34,0.5674647887323944,0,188,1552,[],0
35,0.5841549295774647,0,187,1553,[],0
36,0.6008450704225352,0,1460,352,[],0
37,0.6175352112676056,0,1460,352,[],0
38,0.634225352112676,0,187,1553,[],0
39,0.6509154929577464,0,187,1553,[],0
40,0.6676056338028169,0,187,1553,[],0
41,0.6842957746478873,0,187,1553,[],0
42,0.7009859154929577,0,187,1553,[],0
43,0.7176760563380281,0,187,1553,[],0
44,0.7343661971830986,0,187,1553,[],0
45,0.751056338028169,0,187,1553,[],0
46,0.7677464788732394,0,187,1553,[],0
47,0.7844366197183098,0,2231,335,[],0
48,0.8011267605633803,0,2231,335,[],0
49,0.8178169014084506,0,1668,212,[],0
50,0.8345070422535211,0,1026,298,[],0
51,0.8511971830985915,0,1026,298,[],0
52,0.867887323943662,0,2233,341,[],0
53,0.8845774647887323,0,2233,341,[],0
54,0.9012676056338028,0,2233,341,[],0
55,0.9179577464788732,0,1438,340,[],0
56,0.9346478873239437,0,2540,174,[],0
57,0.951338028169014,0,2225,329,[],0
58,0.9680281690140845,0,2540,174,[],0
59,0.9847183098591549,0,2223,329,[],0
60,1.0014084507042254,0,2540,174,[],0
61,1.0180985915492957,0,2223,329,[],0
62,1.034788732394366,0,2540,174,[],0
63,1.0514788732394367,0,2540,174,[],0
64,1.068169014084507,0,2540,174,[],0
65,1.0848591549295774,0,2540,174,[],0
66,1.1015492957746478,0,2540,174,[],0
67,1.1182394366197184,0,2540,174,[],0
68,1.1349295774647887,0,2540,174,[],0
69,1.151619718309859,0,2540,174,[],0
70,1.1683098591549295,0,2540,174,[],0
71,1.185,0,2109,275,[],0
72,1.2016901408450704,0,2109,275,[],0
73,1.2183802816901408,0,2109,275,[],0
74,1.2350704225352112,0,2540,174,[],0
75,1.2517605633802817,0,2540,174,[],0
76,1.268450704225352,0,1031,229,[],0
77,1.2851408450704225,0,1031,229,[],0
78,1.3018309859154928,0,1031,229,[],0
79,1.3185211267605634,0,1761,407,[],0
80,1.3352112676056338,0,1761,407,[],0
81,1.3519014084507042,0,850,394,[],0
82,1.3685915492957745,0,850,394,[],0
83,1.3852816901408451,0,1682,400,[],0
84,1.4019718309859155,0,849,393,[],0
85,1.4186619718309859,0,1682,400,[],0
86,1.4353521126760562,0,849,397,[],0
87,1.4520422535211268,0,849,397,[],0
88,1.4687323943661972,0,2538,398,[],0
89,1.4854225352112675,0,2541,399,[],0
90,1.502112676056338,0,2538,398,[],0
91,1.5188028169014085,0,2637,399,[],0
92,1.5354929577464789,0,378,386,[],0
93,1.5521830985915492,0,473,381,[],0
94,1.5688732394366196,0,473,381,[],0
95,1.5855633802816902,0,2613,401,[],0
96,1.6022535211267606,0,1674,398,[],0
97,1.618943661971831,0,457,387,[],0
98,1.6356338028169013,0,826,390,[],0
99,1.6523239436619719,0,826,390,[],0
100,1.6690140845070423,0,2159,399,[],0
101,1.6857042253521126,0,2161,397,[],0
102,1.702394366197183,0,2161,397,[],0
103,1.7190845070422536,0,2540,174,[],0
104,1.735774647887324,0,448,376,[],0
105,1.7524647887323943,0,2351,159,[],0
106,1.7691549295774647,0,2351,161,[],0
107,1.7858450704225353,0,1923,401,[],0
108,1.8025352112676056,0,1923,401,[],0
109,1.819225352112676,0,1923,401,[],0
110,1.8359154929577464,0,2540,174,[],0
111,1.8526056338028167,0,1925,399,[],0
112,1.8692957746478873,0,2540,174,[],0
113,1.8859859154929577,0,2540,174,[],0
114,1.902676056338028,0,2540,174,[],0
